t_s,stream,v1,v2,v3,v4
4.443501,encoder,121.113281,,,
4.444407,foot_accel,0.851562,1.968750,-9.531250,
4.444681,heel_fsr,421,,,
4.445803,shank_accel,-0.375000,2.402344,-9.675781,
4.447137,foot_gyro,0.000000,0.000000,0.000000,
4.447146,foot_accel,0.812500,2.007812,-9.531250,
4.447795,shank_gyro,0.000000,0.000000,0.000000,
4.448054,toe_fsr,-5,,,
4.448493,encoder,121.113281,,,
4.449588,foot_gyro,0.000000,0.000000,0.000000,
4.449854,heel_fsr,428,,,
4.450884,shank_accel,-0.335938,2.402344,-9.710938,
4.451686,foot_accel,0.812500,2.007812,-9.531250,
4.452770,shank_gyro,-0.003906,0.003906,0.003906,
4.452774,shank_accel,-0.335938,2.402344,-9.675781,
4.452998,toe_fsr,3,,,
4.454718,foot_gyro,0.000000,0.000000,0.000000,
4.454722,foot_accel,0.812500,2.042969,-9.531250,
4.454946,heel_fsr,424,,,
4.455981,shank_gyro,0.000000,0.000000,0.000000,
4.456216,encoder,121.113281,,,
4.457010,foot_accel,0.812500,2.007812,-9.531250,
4.457625,shank_accel,-0.375000,2.402344,-9.710938,
4.458729,foot_gyro,0.000000,0.000000,0.000000,
4.458953,toe_fsr,2,,,
4.460127,shank_gyro,-0.003906,0.000000,0.000000,
4.460358,encoder,121.113281,,,
4.461022,foot_accel,0.812500,2.007812,-9.531250,
4.461282,heel_fsr,423,,,
4.461953,shank_accel,-0.335938,2.363281,-9.710938,
4.462809,foot_gyro,0.000000,0.000000,0.000000,
4.463455,shank_accel,-0.335938,2.402344,-9.710938,
4.463707,toe_fsr,1,,,
4.464140,encoder,121.113281,,,
4.464815,foot_accel,0.812500,2.042969,-9.531250,
4.465640,shank_gyro,-0.003906,0.000000,0.001953,
4.465905,heel_fsr,411,,,
4.467355,shank_accel,-0.375000,2.402344,-9.710938,
4.468683,foot_gyro,0.000000,0.000000,0.000000,
4.468915,toe_fsr,1,,,
4.469706,shank_gyro,-0.001953,-0.003906,-0.003906,
4.469937,encoder,121.113281,,,
4.470564,foot_accel,0.812500,2.007812,-9.531250,
4.470798,heel_fsr,427,,,
4.471851,shank_accel,-0.375000,2.402344,-9.710938,
4.472649,foot_gyro,0.000000,0.000000,0.000000,
4.473474,encoder,121.113281,,,
4.474541,foot_accel,0.812500,2.007812,-9.531250,
4.474772,toe_fsr,7,,,
4.475942,shank_gyro,-0.005859,-0.005859,-0.001953,
4.476572,foot_accel,0.812500,2.007812,-9.562500,
4.476798,heel_fsr,424,,,
4.477421,shank_accel,-0.335938,2.402344,-9.710938,
4.478672,foot_gyro,0.000000,0.000000,0.000000,
4.479315,shank_gyro,0.001953,0.000000,-0.003906,
4.479566,toe_fsr,-3,,,
4.480004,encoder,121.113281,,,
