t_s,imu,report,x,y,z,w
4.448560,0x4A,accel,8.359375,-4.160156,-0.832031,
4.449376,0x4B,accel,9.316406,0.753906,-1.207031,
4.450600,0x4A,gyro,0.000000,-0.005859,0.007812,
4.450607,0x4A,quat,-0.175903,-0.716492,0.146606,0.658936
4.451944,0x4A,accel,8.363281,-4.160156,-0.796875,
4.452619,0x4B,gyro,0.007812,-0.001953,0.009766,
4.453280,0x4A,gyro,0.005859,-0.003906,0.007812,
4.454765,0x4B,quat,0.030029,-0.747864,-0.024597,0.662720
4.454774,0x4B,accel,9.316406,0.753906,-1.167969,
4.456296,0x4A,quat,-0.175903,-0.716492,0.146667,0.658936
4.456962,0x4B,accel,9.316406,0.718750,-1.207031,
4.457622,0x4A,accel,8.402344,-4.160156,-0.796875,
4.459000,0x4B,gyro,0.001953,-0.005859,0.009766,
4.459008,0x4B,quat,0.030029,-0.747864,-0.024597,0.662720
4.460259,0x4A,gyro,-0.001953,-0.003906,0.007812,
4.460886,0x4B,accel,9.316406,0.718750,-1.207031,
4.462016,0x4A,quat,-0.175903,-0.716553,0.146667,0.658875
4.462020,0x4A,accel,8.359375,-4.160156,-0.832031,
4.462641,0x4B,gyro,-0.001953,-0.005859,0.009766,
4.463254,0x4A,gyro,0.005859,-0.005859,0.007812,
4.464847,0x4B,quat,0.029968,-0.747925,-0.024597,0.662659
4.465965,0x4A,quat,-0.175903,-0.716553,0.146667,0.658875
4.466593,0x4B,accel,9.316406,0.753906,-1.207031,
4.467234,0x4A,accel,8.398438,-4.160156,-0.832031,
4.468371,0x4B,gyro,0.001953,-0.005859,0.011719,
4.468376,0x4B,quat,0.029968,-0.747986,-0.024536,0.662598
4.469009,0x4A,accel,8.359375,-4.160156,-0.832031,
4.469638,0x4B,accel,9.316406,0.753906,-1.167969,
4.471114,0x4A,gyro,-0.003906,-0.005859,0.007812,
4.471123,0x4A,quat,-0.175903,-0.716553,0.146729,0.658875
4.471765,0x4B,gyro,-0.001953,-0.001953,0.011719,
4.472459,0x4A,accel,8.398438,-4.160156,-0.832031,
4.473881,0x4B,quat,0.029968,-0.747986,-0.024536,0.662598
4.475516,0x4A,gyro,0.001953,-0.007812,0.001953,
4.475524,0x4A,quat,-0.175964,-0.716553,0.146729,0.658875
4.476179,0x4B,accel,9.273438,0.753906,-1.167969,
4.476855,0x4A,accel,8.359375,-4.160156,-0.871094,
4.478996,0x4B,accel,9.355469,0.718750,-1.128906,
4.479001,0x4B,gyro,0.003906,-0.003906,0.013672,
4.479005,0x4B,quat,0.029968,-0.748047,-0.024536,0.662537
4.480032,0x4A,gyro,0.003906,-0.007812,0.007812,
4.480654,0x4B,accel,9.355469,0.718750,-1.128906,
4.481789,0x4A,quat,-0.175964,-0.716553,0.146729,0.658813
4.481793,0x4A,accel,8.398438,-4.160156,-0.832031,
4.482424,0x4B,gyro,-0.003906,-0.009766,0.013672,
4.483038,0x4A,gyro,0.000000,-0.007812,0.005859,
4.483968,0x4B,quat,0.029907,-0.748047,-0.024475,0.662476
4.485343,0x4A,quat,-0.175964,-0.716553,0.146790,0.658813
4.485969,0x4B,accel,9.316406,0.718750,-1.167969,
4.486579,0x4A,accel,8.402344,-4.199219,-0.832031,
4.487722,0x4B,gyro,0.000000,-0.009766,0.015625,
4.487727,0x4B,quat,0.029907,-0.748108,-0.024475,0.662415
4.488421,0x4A,accel,8.402344,-4.160156,-0.796875,
4.489487,0x4B,accel,9.355469,0.718750,-1.167969,
4.490703,0x4A,gyro,0.003906,-0.005859,0.005859,
4.490711,0x4A,quat,-0.175964,-0.716553,0.146790,0.658813
4.491350,0x4B,accel,9.355469,0.718750,-1.207031,
4.491989,0x4A,accel,8.359375,-4.160156,-0.832031,
4.492631,0x4B,gyro,0.003906,-0.005859,0.013672,
4.493271,0x4A,gyro,-0.003906,-0.009766,0.003906,
4.494194,0x4B,quat,0.029846,-0.748169,-0.024475,0.662415
4.495597,0x4A,quat,-0.175964,-0.716553,0.146790,0.658813
4.496239,0x4B,accel,9.355469,0.718750,-1.207031,
4.496884,0x4A,accel,8.402344,-4.199219,-0.832031,
4.498039,0x4B,gyro,0.001953,-0.009766,0.013672,
4.498044,0x4B,quat,0.029846,-0.748230,-0.024414,0.662354
4.498665,0x4A,gyro,-0.003906,-0.005859,0.007812,
4.499492,0x4B,accel,9.351562,0.679688,-1.246094,
4.501442,0x4A,quat,-0.176025,-0.716614,0.146790,0.658752
4.501446,0x4A,accel,8.359375,-4.160156,-0.832031,
4.502065,0x4B,gyro,0.003906,-0.009766,0.011719,
4.502690,0x4A,gyro,-0.001953,-0.005859,0.003906,
4.503551,0x4B,quat,0.029846,-0.748230,-0.024414,0.662292
4.504462,0x4A,quat,-0.176025,-0.716614,0.146851,0.658752
4.505089,0x4B,accel,9.316406,0.718750,-1.246094,
4.505717,0x4A,accel,8.363281,-4.199219,-0.832031,
4.507552,0x4B,gyro,-0.005859,-0.005859,0.007812,
4.508185,0x4A,accel,8.359375,-4.160156,-0.871094,
4.509786,0x4B,quat,0.029785,-0.748291,-0.024414,0.662231
4.509793,0x4B,accel,9.355469,0.718750,-1.246094,
4.511614,0x4A,gyro,0.000000,-0.003906,0.015625,
4.511621,0x4A,quat,-0.176025,-0.716614,0.146851,0.658752
4.512258,0x4B,accel,9.312500,0.679688,-1.246094,
4.512960,0x4A,accel,8.398438,-4.160156,-0.832031,
4.514221,0x4B,gyro,0.001953,-0.011719,0.015625,
4.514230,0x4B,quat,0.029785,-0.748352,-0.024353,0.662170
4.516373,0x4A,gyro,0.001953,-0.003906,0.003906,
4.516382,0x4A,quat,-0.176086,-0.716614,0.146851,0.658691
4.517059,0x4B,accel,9.316406,0.718750,-1.246094,
